Torus      N      ρ_x          δ_x/π      ρ_y          δ_y/π     
3×3     30     0.460655     0.667      0.460655     1.333     
3×3     30     0.460655     1.333      0.460655     1.333     
3×3     30     0.460655     1.333      0.460655     0.667     
3×3     30     0.460655     0.667      0.460655     0.667     
5×5     60     0.276393     0.800      0.276393     0.800     
5×5     60     0.723607     0.800      0.276393     0.400     
5×5     60     0.723607     0.400      0.723607     0.000     
5×5     60     0.723607     0.000      0.276393     0.000     
5×5     60     0.276393     0.800      0.276393     0.000     
5×5     60     0.723607     0.400      0.276393     0.800     
5×5     60     0.723607     0.400      0.723607     0.800     
5×5     60     0.276393     0.400      0.723607     0.400     
5×5     60     0.723607     0.800      0.723607     0.800     
5×5     60     0.276393     0.000      0.276393     0.400     
5×5     60     0.723607     0.800      0.276393     0.800     
5×5     60     0.723607     0.400      0.276393     0.000     
5×5     60     0.723607     0.000      0.723607     0.400     
5×5     60     0.723607     0.000      0.276393     0.400     
5×5     60     0.276393     0.800      0.723607     0.400     
5×5     60     0.723607     0.800      0.723607     0.000     
5×5     60     0.276393     0.800      0.276393     0.400     
5×5     60     0.723607     0.800      0.276393     0.000     
5×5     60     0.276393     0.000      0.723607     0.800     
5×5     60     0.276393     0.000      0.276393     0.800     
5×5     60     0.276393     0.400      0.276393     0.400     
5×5     60     0.723607     0.400      0.276393     0.400     
5×5     60     0.723607     0.400      0.723607     0.400     
5×5     60     0.276393     0.000      0.723607     0.000     
5×5     60     0.723607     0.800      0.723607     0.400     
5×5     60     0.276393     0.000      0.276393     0.000     
5×5     60     0.723607     0.000      0.723607     0.000     
5×5     60     0.276393     0.800      0.723607     0.000     
5×5     60     0.276393     0.400      0.723607     0.800     
5×5     60     0.276393     0.400      0.276393     0.800     
5×5     60     0.276393     0.000      0.723607     0.400     
5×5     60     0.276393     0.400      0.723607     0.000     
5×5     60     0.723607     0.000      0.723607     0.800     
5×5     60     0.276393     0.400      0.276393     0.000     
5×5     60     0.723607     0.000      0.276393     0.800     
5×5     60     0.276393     0.800      0.723607     0.800     
5×10    60     0.276393     0.000      0.276393     0.000     
5×10    60     0.276393     0.800      0.723607     0.000     
